T_ZONE1;T_ZONE2;T_ZONE3;T_ZONE4;T_ZONE5;T_ZONE6;H_ZONE1;H_ZONE2;H_ZONE3;H_ZONE4;H_ZONE5;H_ZONE6
23,217;23,025;23,104;23,451;23,654;23,984;100,00;100,00;98,70;93,85;91,55;89,92
23,275;23,061;23,302;23,49;23,765;23,8;100,00;99,90;98,70;92,92;90,62;90,85
23,223;23,088;23,157;23,514;23,657;23,768;100,00;99,90;99,67;93,55;92,15;91,77
23,239;22,996;23,092;23,395;23,493;23,686;100,00;98,70;98,70;94,47;93,37;92,40
23,29;23,005;23,337;23,313;23,487;23,582;100,00;100,00;97,75;94,77;92,77;92,70
23,22;23,068;23,175;23,463;23,535;23,612;100,00;98,40;99,35;94,77;92,45;92,40
23,281;23,074;23,086;23,463;23,535;23,627;100,00;99,00;99,67;93,85;92,77;92,70
23,25;23,032;23,014;23,149;23,541;23,633;100,00;100,00;100,00;96,95;93,07;93,02
23,269;22,98;23,01;23,268;23,559;23,615;100,00;99,60;100,00;96,32;91,85;93,32
23,266;23,002;22,999;23,275;23,478;23,565;100,00;99,90;100,00;96,32;93,07;93,32
23,251;23,013;23,088;23,268;23,573;23,537;100,00;100,00;100,00;95,40;92,15;93,32
23,253;22,992;22,986;23,331;23,433;23,555;100,00;99,60;100,00;95,72;93,67;93,32
23,146;22,902;22,923;23,311;23,4;23,463;100,00;99,90;100,00;95,40;93,67;93,95
23,202;22,931;22,995;23,268;23,462;23,41;100,00;100,00;100,00;95,10;92,77;93,95
23,17;22,952;22,962;23,313;23,35;23,52;100,00;100,00;100,00;96,32;94,00;93,65
23,16;22,949;22,968;23,395;23,46;23,4;100,00;100,00;100,00;94,17;93,07;94,27
23,152;22,898;22,875;23,272;23,395;23,427;100,00;100,00;100,00;95,72;93,67;93,95
23,106;22,812;22,941;23,182;23,197;23,332;100,00;100,00;100,00;97,57;96,15;94,90
23,164;22,832;23,026;23,086;23,256;23,278;100,00;100,00;100,00;97,57;94,60;95,20
23,191;22,934;22,993;23,19;23,326;23,394;100,00;100,00;100,00;97,27;94,00;94,27
23,19;22,977;22,961;23,284;23,403;23,8;100,00;100,00;100,00;95,40;94,00;92,10
23,188;22,922;22,993;23,206;23,212;23,472;100,00;100,00;99,97;96,02;95,22;93,65
23,161;22,938;23,041;23,19;23,43;23,416;100,00;100,00;100,00;95,40;93,07;93,65
23,127;22,932;22,95;23,454;23,391;23,431;100,00;100,00;100,00;93,85;93,67;93,95
23,146;22,922;22,893;23,215;23,386;23,753;100,00;100,00;100,00;95,72;94,60;91,15
23,076;22,8;22,881;23,047;23,133;23,627;100,00;100,00;100,00;97,57;95,52;93,32
23,065;22,763;22,895;22,98;23,08;23,232;100,00;100,00;100,00;97,57;95,82;95,52
23,044;22,718;22,853;22,99;23,245;23,253;100,00;100,00;100,00;97,27;94,60;94,90
23,074;22,79;22,83;22,845;23,014;23,154;100,00;100,00;100,00;98,20;96,45;95,82
23,086;22,85;22,91;22,946;23,005;23,083;100,00;100,00;100,00;97,57;96,15;96,45
23,079;22,821;22,833;23,007;23,014;23,119;100,00;100,00;100,00;97,57;95,82;96,77
23,023;22,844;22,844;22,941;23,122;23,146;100,00;100,00;100,00;98,20;95,52;96,15
23,083;22,85;22,965;23,176;23,053;23,143;100,00;100,00;99,97;95,72;96,15;95,82
23,088;22,875;22,866;23,125;23,023;23,065;100,00;100,00;100,00;96,32;96,15;96,45
23,005;22,735;22,753;23,031;23,037;23,149;100,00;100,00;100,00;97,57;96,75;95,82
22,931;22,648;22,709;22,775;22,985;23,001;100,00;100,00;100,00;99,45;96,45;97,07
22,932;22,657;22,684;22,687;22,848;22,974;100,00;100,00;100,00;99,75;97,37;97,07
22,964;22,699;22,609;22,857;22,865;22,923;100,00;100,00;100,00;98,20;97,07;97,40
22,91;22,597;22,596;22,769;22,802;22,907;100,00;100,00;100,00;100,00;97,67;97,40
22,931;22,633;22,561;22,742;22,871;22,917;100,00;100,00;100,00;99,75;96,75;97,07
22,941;22,676;22,605;22,922;22,863;22,937;100,00;100,00;100,00;96,95;97,07;96,77
22,908;22,625;22,569;22,824;22,733;22,772;100,00;100,00;100,00;98,20;98,00;98,35
22,886;22,599;22,525;22,73;22,676;22,714;100,00;100,00;100,00;98,50;98,30;98,65
22,829;22,527;22,416;22,673;22,642;22,72;100,00;100,00;100,00;98,82;98,00;98,35
22,727;22,351;22,346;22,475;22,346;22,56;100,00;100,00;100,00;100,00;100,00;99,27
22,693;22,297;22,321;22,279;22,298;22,355;100,00;100,00;100,00;100,00;100,00;100,00
22,664;22,252;22,279;22,233;22,278;22,231;100,00;100,00;100,00;100,00;100,00;100,00
22,715;22,348;22,309;22,267;22,208;22,295;100,00;100,00;100,00;100,00;100,00;100,00
22,721;22,378;22,327;22,188;22,17;22,221;100,00;100,00;100,00;100,00;100,00;100,00
22,782;22,451;22,372;22,234;22,21;22,257;100,00;100,00;100,00;100,00;100,00;100,00
22,753;22,47;22,357;22,269;22,342;22,373;100,00;100,00;100,00;100,00;100,00;100,00
22,703;22,437;22,37;22,348;22,43;22,461;100,00;100,00;100,00;100,00;99,55;100,00
22,729;22,543;22,452;22,437;22,498;22,519;100,00;100,00;100,00;100,00;98,92;99,60
22,769;22,463;22,431;22,504;22,454;22,463;100,00;100,00;100,00;100,00;99,22;99,92
22,784;22,458;22,4;22,388;22,484;22,463;100,00;100,00;100,00;100,00;99,85;100,00
22,682;22,404;22,384;22,434;22,515;22,688;100,00;100,00;100,00;100,00;99,22;98,02
22,742;22,481;22,412;22,449;22,57;22,628;100,00;100,00;100,00;100,00;98,60;98,65
22,706;22,385;22,249;22,566;22,386;22,573;100,00;100,00;100,00;99,45;100,00;99,27
22,664;22,297;22,29;22,294;22,348;22,237;100,00;100,00;100,00;100,00;100,00;100,00
22,699;22,41;22,448;22,375;22,506;22,518;100,00;100,00;100,00;100,00;99,85;100,00
